Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Father ID,Father ID Certainty,Father Notes,Haplotype,Haplotype Certainty,Haplotype Kin ID Based On,Haplotype Kin DNA Sample Based On,Haplotype Researcher,Haplotype Notes,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
AAR,AARHUS,False,UNKNOWN,,DMK,,,,,,,,,,YEAR ESTIMATE,2003-11-01,,2004-11-01,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,Calf not distinctive.,,,,,,,,NO,,,
ABA,ABALONE,False,FEMALE,HIGH,WHL,,,Haplotype based on maternal relative.,D,,,,,,MONTH ESTIMATE,2010-11-01,,,,,SAS,,"on 16-Oct-10 WHL said to look ""big""; calf looks 1-2 yrs in photos-SAS & VF",,,,,,,,,MONTH ESTIMATE,2014-08-07,GAP,,MIDPOINT,JM,,YES,mom was herded nov 2013 so if she got pregnant she would have lost calf before nudibranch. we expect weaned ABA in 2014,,
ABC,ABERCROMBIE,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1994-11-01,,,ASSIGNED 10 YRS,,JM,,"ABC seen with juveniles but no size info. Given default 10 yrs. at first sight. No size information so given default age of 10 years, but suspect young since sexed and no mention of speckles",,,,,,,,,,,,,,,,,,,
ABE,ABE,False,,,URP,,,haplotype assigned based on haplotype of mother,D,,,,,,YEAR ESTIMATE,1991-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,1.5-2YRS.,YEAR ESTIMATE,1994-06-19,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,,1994,
ACA,ACACIA,False,UNKNOWN,,SLT,,,added haplotype based on Slice,A,,,,,,MONTH ESTIMATE,2006-11-01,2006-09-01,2007-01-01,SPRING SUMMER YOY,,JM,,,MONTH ESTIMATE,2008-06-05,DEAD PREWEANING,SIBLING BIRTH,MIDPOINT,JM,,Gap between LDO birth too narrow and ACA would have been with SLT in Jun 2009 if still alive.,,,,,,,,,,,
ACD,ACADIA,False,UNKNOWN,,ZIO,,,,,,,,,,MONTH ESTIMATE,2003-11-01,2002-11-01,2003-11-01,MOTHER FIRST SIGHT WITH CALF,GAP,EK,,Calf was at least 2 at first sighting based on photos.,,,,,,,,,,,,,,,,,,,Could have been weaned since large at first sighting and there was a 5 year gap before next sighting of mother.
ACF,ANOTHER CLEAN FIN,False,,,,,,,,,,,,,YEAR ESTIMATE,1997-11-01,1994-11-01,1997-11-01,,,JM,,A juvenile in 2004 because RCC though it was a calf.  We need speckle info as still looked smallish (juvenile) in 2012.,,,,,,,,,,,,,,,,,,,This birthdate is completely made up. Need to check sightings
ACK,ACK,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1980-11-01,1970-11-01,1980-11-01,ALLIANCE,,EK,JM,"Based on 1996 photo and number of old scars, he must have been at least 16 in photo. No obvious speckles but photo quality is not great.",YEAR ESTIMATE,1999-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Seen 96 to 98 and then never again. Distinctive enough that we should have tracked him if he was alive.,,,,,,,,,,1998,
ADC,ANDRONICUS,False,UNKNOWN,,TTU,,,,,,,,,,WEEK ESTIMATE,2001-06-01,2001-04-01,2001-06-15,INFANT FIRST SIGHT,MOTHER FIRST SIGHT WITH CALF,JM,,may have had fetal lines,MONTH ESTIMATE,2002-03-04,DEAD PREWEANING,,MIDPOINT,EK,,,,,,,,,,,,,
ADI,ADIA,False,,,ALT,,,,,,,,,,WEEK ESTIMATE,2020-11-20,2020-10-15,2020-12-01,INFANT FIRST SIGHT,,JM,VF,Adia first seen 10-Dec-20 and JM estimated no more than 5 weeks based on photos,,,,,,,,,,,,,,,,,,,
