"","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"ADR",0,1,1,1,0,0,0,0,0,0,2001,2010,10,6,4,0,2014-12-31,0
"ALI",1,1,1,1,1,1,1,1,,,2001,2008,8,0,8,2,2008-07-26,0.25
"ALT",0,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2021-06-12,0.2
"AMA",1,1,1,0,1,0,0,1,,,2001,2008,8,0,8,0,2008-12-24,0
"AMP",1,1,1,1,1,0,1,1,1,1,2001,2010,10,0,10,3,2020-05-24,0.3
"ATC",,,0,1,1,0,1,0,0,0,2003,2010,8,3,5,0,2016-07-18,0
"ATH",1,1,1,1,1,1,1,1,0,1,2001,2010,10,0,10,2,2021-03-16,0.2
"ATW",1,1,1,1,1,0,1,0,0,0,2001,2010,10,3,7,1,2020-05-09,0.142857142857143
"BAD",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-04-09,0.2
"BAN",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,0,2010-04-19,0
"BAY",1,1,1,1,1,,,,,,2001,2005,5,0,5,1,2005-09-26,0.2
"BIS",1,1,1,1,1,,,,,,2001,2005,5,0,5,0,2005-10-07,0
"BLB",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2015-01-25,0.1
"BLI",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2020-06-06,0.1
"BMB",,,,1,1,1,1,0,0,0,2004,2010,7,3,4,0,2014-04-18,0
"BMY",1,1,0,1,1,1,1,0,0,0,2001,2010,10,3,7,2,2019-12-12,0.285714285714286
"BOM",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-01-16,0.2
"BRE",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,3,2022-08-14,0.3
"BRT",,,1,0,,,,0,1,1,2003,2010,5,0,5,0,2016-02-27,0
"BSC",,,,1,1,1,1,0,0,0,2004,2010,7,3,4,0,2018-12-28,0
"BTT",0,0,0,0,0,1,1,1,1,,2001,2009,9,5,4,1,2009-02-01,0.25
"BUS",1,1,1,0,1,,,,,,2001,2005,5,0,5,0,2005-06-09,0
"BWS",,,1,0,1,1,0,0,0,0,2003,2010,8,4,4,0,2020-05-17,0
"BYT",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,0,2020-09-20,0
"CCO",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2015-06-28,0.2
"CED",1,1,1,,,,0,0,,,2001,2008,5,0,5,1,2020-06-03,0.2
"CER",,,,,,,1,0,1,1,2007,2010,4,0,4,0,2020-01-17,0
