"","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"ALO",,,,1,1,1,1,1,1,1,1,2012,2019,8,0,8,0,2019-05-15,0
"ALT",1,1,1,0,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-09-30,0.181818181818182
"AME",0,0,1,1,,,,,,,,2009,2012,4,0,4,0,2012-07-07,0
"AMO",1,1,1,1,1,1,1,1,,,,2009,2016,8,0,8,1,2016-03-07,0.125
"AMP",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,2,2019-11-23,0.222222222222222
"ASN",,,,,,1,1,1,1,1,1,2014,2019,6,0,6,0,2019-12-04,0
"ATC",0,0,1,1,1,1,1,1,,,,2009,2016,8,0,8,1,2016-01-17,0.125
"ATH",1,1,1,1,1,1,1,0,1,0,1,2009,2019,11,0,11,1,2020-02-19,0.0909090909090909
"ATW",0,0,1,1,1,1,1,1,1,0,1,2009,2019,11,0,11,0,2019-11-08,0
"BAD",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,0,2019-10-09,0
"BLB",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,1,2014-07-26,0.166666666666667
"BLI",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,0,2019-12-06,0
"BLK",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-08-03,0.181818181818182
"BLV",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2011-11-24,0.25
"BMB",0,1,1,0,1,,,,,,,2009,2013,5,0,5,0,2013-10-17,0
"BMN",0,1,0,1,1,1,1,,,,,2009,2015,7,0,7,0,2015-09-04,0
"BMY",0,1,1,1,1,1,1,0,,,1,2009,2019,9,0,9,1,2019-06-12,0.111111111111111
"BNG",,,1,0,1,1,1,1,,,,2011,2016,6,0,6,0,2018-09-22,0
